S No,User,Question No,Correct Answer,User Answer
1,goravchaurasia,Question 1,option 1,option 1
1,goravchaurasia,Question 2,option 2,option 1
1,goravchaurasia,Question 3,option 1,option 2
1,goravchaurasia,Question 4,option 3,option 2
1,goravchaurasia,Question 5,option 1,
1,goravchaurasia,Question 6,option 2,option 2
1,goravchaurasia,Question 7,420,
1,goravchaurasia,Question 8,option 2,option 1
1,goravchaurasia,Question 9,759,58
1,goravchaurasia,Question 10,option 1,
1,goravchaurasia,Question 11,14,
1,goravchaurasia,Question 12,11,35
1,goravchaurasia,Question 13,option 1,option 2
1,goravchaurasia,Question 14,option 2,option 2
1,goravchaurasia,Question 15,option 3,
1,goravchaurasia,Question 16,350,
1,goravchaurasia,Question 17,1000,
1,goravchaurasia,Question 18,10,
1,goravchaurasia,Question 19,168,
1,goravchaurasia,Question 20,option 2,
2,dasguptasayon2020,Question 1,option 1,option 2
2,dasguptasayon2020,Question 2,option 2,option 2
2,dasguptasayon2020,Question 3,option 1,option 2
2,dasguptasayon2020,Question 4,option 3,option 12
2,dasguptasayon2020,Question 5,option 1,option 1
2,dasguptasayon2020,Question 6,option 2,option 1
2,dasguptasayon2020,Question 7,420,420
2,dasguptasayon2020,Question 8,option 2,option 2
2,dasguptasayon2020,Question 9,759,
2,dasguptasayon2020,Question 10,option 1,option 1
2,dasguptasayon2020,Question 11,14,14
2,dasguptasayon2020,Question 12,11,11
2,dasguptasayon2020,Question 13,option 1,option 2
2,dasguptasayon2020,Question 14,option 2,option 2
2,dasguptasayon2020,Question 15,option 3,option 9 cms
2,dasguptasayon2020,Question 16,350,"4 fruits 1 and 3 fruits 2
To have the least cost of ₹410"
2,dasguptasayon2020,Question 17,1000,"12,240"
2,dasguptasayon2020,Question 18,10,33.33 hectares for crop Y and 16.67 hectares for crop X
2,dasguptasayon2020,Question 19,168,"18 pieces model A and 2 pieces model B. 
168"
2,dasguptasayon2020,Question 20,option 2,option 2
3,chirag05122000,Question 1,option 1,option 2
3,chirag05122000,Question 2,option 1,option 2
3,chirag05122000,Question 3,option 3,option 3
3,chirag05122000,Question 4,option 1,option 2
3,chirag05122000,Question 5,option 2,option 2
3,chirag05122000,Question 6,420,
3,chirag05122000,Question 7,option 2,option 2
3,chirag05122000,Question 8,759,73
3,chirag05122000,Question 9,option 1,option 1
3,chirag05122000,Question 10,14,
3,chirag05122000,Question 11,11,11
3,chirag05122000,Question 12,option 1,option 1
3,chirag05122000,Question 13,option 2,option 2
3,chirag05122000,Question 14,option 2,option 2
3,chirag05122000,Question 15,option 2,option 1
3,chirag05122000,Question 16,option 3,option 3
3,chirag05122000,Question 17,350,
3,chirag05122000,Question 18,1000,
3,chirag05122000,Question 19,10,
3,chirag05122000,Question 20,168,
4,Kamaljitmittal7637,Question 1,option 1,option 1
4,Kamaljitmittal7637,Question 2,option 1,option 2
4,Kamaljitmittal7637,Question 3,option 3,option They have to cut the wire atleast 2 times.
4,Kamaljitmittal7637,Question 4,option 1,option 1
4,Kamaljitmittal7637,Question 5,option 2,option 2
4,Kamaljitmittal7637,Question 6,420,
4,Kamaljitmittal7637,Question 7,option 2,option 3
4,Kamaljitmittal7637,Question 8,759,Height of mountain =51.78(approximately)
4,Kamaljitmittal7637,Question 9,option 1,option 1
4,Kamaljitmittal7637,Question 10,14,"n(A): people look advertisement are80%
n(B): people look advertisement are 90%"
4,Kamaljitmittal7637,Question 11,11,"Here we are using inclusion-exclusion principle
n(only C)=n(C)-n(Cand A)-n(C and B)+n(A and B and C)
=29-12-14+8
=11."
4,Kamaljitmittal7637,Question 12,option 1,option 1
4,Kamaljitmittal7637,Question 13,option 2,option 1
4,Kamaljitmittal7637,Question 14,option 2,option 2
4,Kamaljitmittal7637,Question 15,option 2,option 2
4,Kamaljitmittal7637,Question 16,option 3,
4,Kamaljitmittal7637,Question 17,350,"We can solve this by Linear Programming
After making the equations
Z=8x+10y,. 
for fruit 1 2x+y=50
for fruit2,. x+2y=70

we will draw its graph , and by using CORNER POINT METHOD, we will find four points (0.0),(0,35),(10,30),(25,0) 
then at point (10,30) we will get the final answer."
4,Kamaljitmittal7637,Question 18,1000,
4,Kamaljitmittal7637,Question 19,10,We will solve it with linear programming..
4,Kamaljitmittal7637,Question 20,168,"We will maximize it using Linear Programming.
"
5,aamir060601,Question 1,option 1,option 1
5,aamir060601,Question 2,option 2,option 2
5,aamir060601,Question 3,option 1,option 1
5,aamir060601,Question 4,option 3,option 4
5,aamir060601,Question 5,option 1,option 1
5,aamir060601,Question 6,option 2,option 2
5,aamir060601,Question 7,420,
5,aamir060601,Question 8,option 2,option 3
5,aamir060601,Question 9,759,56
5,aamir060601,Question 10,option 1,option 1
5,aamir060601,Question 11,14,15
5,aamir060601,Question 12,11,3
5,aamir060601,Question 13,option 1,option 2
5,aamir060601,Question 14,option 2,option 2
5,aamir060601,Question 15,option 3,
5,aamir060601,Question 16,350,I think there is error in question
5,aamir060601,Question 17,1000,
5,aamir060601,Question 18,10,
5,aamir060601,Question 19,168,
5,aamir060601,Question 20,option 2,option 2
6,Jpnoro2003,Question 1,option 1,option 1
6,Jpnoro2003,Question 2,option 2,option 2
6,Jpnoro2003,Question 3,option 1,option 1
6,Jpnoro2003,Question 4,option 3,option 3
6,Jpnoro2003,Question 5,option 1,option 1
6,Jpnoro2003,Question 6,option 2,option 1
6,Jpnoro2003,Question 7,420,420
6,Jpnoro2003,Question 8,option 2,option 2
6,Jpnoro2003,Question 9,759,759m
6,Jpnoro2003,Question 10,option 1,option 1
6,Jpnoro2003,Question 11,14,19.5% ==> 20%
6,Jpnoro2003,Question 12,11,11
6,Jpnoro2003,Question 13,option 1,option 1
6,Jpnoro2003,Question 14,option 2,option 2
6,Jpnoro2003,Question 15,option 3,option 3cm
6,Jpnoro2003,Question 16,350,Rs 380
6,Jpnoro2003,Question 17,1000,RS 1000
6,Jpnoro2003,Question 18,10,40-10=30
6,Jpnoro2003,Question 19,168,168
6,Jpnoro2003,Question 20,option 2,option 2
7,dylan.dejonge0610,Question 1,option 1,option 2
7,dylan.dejonge0610,Question 2,option 2,option 2
7,dylan.dejonge0610,Question 3,option 1,option 1
7,dylan.dejonge0610,Question 4,option 3,option Fold the wire in strips of 10 so that you have 12 strips like a lime. Then fold the line to get al the 10 cm crossings in 1 point and then make 1 cut. So the smallest number is 1
7,dylan.dejonge0610,Question 5,option 1,option 1
7,dylan.dejonge0610,Question 6,option 2,option 2
7,dylan.dejonge0610,Question 7,420,"600*0,12=72L and x*0,30=0,3xL. 72 + 0,3x = 0,15(600+x) gives x=120=a. 72+0,3x = 0,18(600+x) gives x=300=b. So a+b = 420

420 is the answer "
7,dylan.dejonge0610,Question 8,option 2,option 2
7,dylan.dejonge0610,Question 9,759,759 meters 
7,dylan.dejonge0610,Question 10,option 1,option 1
7,dylan.dejonge0610,Question 11,14,"x=19,5 is rounded to 20 so 20%"
7,dylan.dejonge0610,Question 12,11,"29-14-12+8=11

11 people liked only C"
7,dylan.dejonge0610,Question 13,option 1,option 1
7,dylan.dejonge0610,Question 14,option 2,option 2
